Netid,State,Local,Address:Port
udp,ESTAB,10.30.107.87%wlan0:68,10.30.104.16:67
udp,UNCONN,0.0.0.0:49750,0.0.0.0:*
udp,UNCONN,0.0.0.0:35161,0.0.0.0:*
udp,UNCONN,172.17.0.1:3702,0.0.0.0:*
udp,UNCONN,239.255.255.250:3702,0.0.0.0:*
udp,UNCONN,192.168.60.1:3702,0.0.0.0:*
udp,UNCONN,239.255.255.250:3702,0.0.0.0:*
udp,UNCONN,172.16.248.1:3702,0.0.0.0:*
udp,UNCONN,239.255.255.250:3702,0.0.0.0:*
udp,UNCONN,10.30.107.87:3702,0.0.0.0:*
udp,UNCONN,239.255.255.250:3702,0.0.0.0:*
udp,UNCONN,0.0.0.0:36712,0.0.0.0:*
udp,UNCONN,0.0.0.0:53703,0.0.0.0:*
udp,UNCONN,224.0.0.251:5353,0.0.0.0:*
udp,UNCONN,224.0.0.251:5353,0.0.0.0:*
udp,UNCONN,224.0.0.251:5353,0.0.0.0:*
udp,UNCONN,*:41200,*:*
udp,UNCONN,*:42590,*:*
udp,UNCONN,*:1716,*:*
udp,UNCONN,*:35748,*:*
udp,UNCONN,[fe80::250:56ff:fec0:8]%vmnet8:3702,[::]:*
udp,UNCONN,[ff02::c]%vmnet8:3702,[::]:*
udp,UNCONN,[fe80::250:56ff:fec0:1]%vmnet1:3702,[::]:*
udp,UNCONN,[ff02::c]%vmnet1:3702,[::]:*
udp,UNCONN,[fe80::219f:8197:fb14:eeb4]%wlan0:3702,[::]:*
udp,UNCONN,[ff02::c]%wlan0:3702,[::]:*
tcp,LISTEN,127.0.0.1:11434,0.0.0.0:*
tcp,LISTEN,127.0.0.1:1883,0.0.0.0:*
tcp,LISTEN,127.0.0.1:41425,0.0.0.0:*
tcp,LISTEN,127.0.0.1:631,0.0.0.0:*
tcp,LISTEN,0.0.0.0:902,0.0.0.0:*
tcp,LISTEN,127.0.0.1:6379,0.0.0.0:*
tcp,LISTEN,127.0.0.1:5432,0.0.0.0:*
tcp,ESTAB,10.30.107.87:43010,142.250.206.138:443
tcp,ESTAB,127.0.0.1:40573,127.0.0.1:40224
tcp,ESTAB,10.30.107.87:33950,142.250.195.74:443
tcp,ESTAB,10.30.107.87:47350,192.178.211.84:443
tcp,ESTAB,10.30.107.87:43276,142.250.206.174:443
tcp,ESTAB,10.30.107.87:57586,65.0.200.43:443
tcp,ESTAB,10.30.107.87:48706,104.18.39.21:443
tcp,ESTAB,127.0.0.1:40224,127.0.0.1:40573
tcp,ESTAB,10.30.107.87:41574,172.64.41.3:443
tcp,ESTAB,10.30.107.87:59720,151.101.2.137:443
tcp,LISTEN,*:3306,*:*
tcp,LISTEN,[::1]:5432,[::]:*
tcp,LISTEN,*:1716,*:*
tcp,LISTEN,*:33060,*:*
tcp,LISTEN,[::]:902,[::]:*
tcp,LISTEN,[::1]:6379,[::]:*
tcp,LISTEN,[::1]:1883,[::]:*
tcp,LISTEN,[::1]:631,[::]:*
tcp,ESTAB,[::1]:35809,[::1]:1883
tcp,ESTAB,[::1]:57023,[::1]:1883
tcp,ESTAB,[::1]:1883,[::1]:57023
tcp,ESTAB,[::1]:1883,[::1]:35809
